
ORIGEM;DESTINO;CLASSIFICAÇÃO;SERVIÇO;0,25;0,5;0,75;1;1,5;2;2,5;3;3,5;4;4,5;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;ADD
SP;MG;Capital; E-Commerce ;21,33;21,67;22,37;24,28;26,05;28,23;29,7;31,11;32,15;33,51;34,71;36,12;39,77;43,42;47,1;50,74;54,39;60,91;64,75;68,61;72,45;76,3;80,14;83,99;87,85;91,7;95,54;99,39;103,23;107,08;110,92;114,78;118,63;122,46;126,33;130,17;134,01;3,33
SP;MS;Capital; E-Commerce ;27,2;28,75;31,04;31,94;33,68;36,33;38,87;40,09;41,46;43,25;45,41;46,63;51,75;56,83;61,92;67,03;72,13;77,26;82,61;88;93,36;98,73;104,09;109,46;114,81;120,2;125,56;130,93;136,29;141,67;147,02;152,4;157,76;163,12;168,5;173,88;179,24;5,28
SP;MT;Capital; E-Commerce ;31,75;32,53;34,72;36,74;38,46;41,88;44,87;46,27;47,85;49,92;51,72;54,13;60,82;67,51;74,18;80,89;87,58;98,88;107,43;115,98;124,52;133,06;141,59;150,14;158,68;167,23;175,76;184,3;192,85;201,39;209,94;218,47;227,01;235,56;244,11;252,64;261,18;7,6
SP;PA;Capital; E-Commerce ;54,39;56,32;57,48;60,42;61,25;66,89;71,82;74,05;76,66;80,03;83;86,91;98,81;110,72;122,61;134,52;146,43;154,34;167,08;179,8;192,56;205,28;218,02;230,76;243,49;256,23;268,96;281,69;294,44;307,16;319,91;332,63;345,36;358,1;370,84;383,57;396,31;13,41
SP;PB;Capital; E-Commerce ;42,51;44;44,9;47,17;47,82;52,15;55,95;57,67;59,68;62,29;64,58;67,6;76,74;85,88;95,02;104,17;113,31;119,41;129,18;138,96;148,75;158,52;168,3;178,09;187,86;197,65;207,42;217,2;226,98;236,75;246,54;256,31;266,08;275,87;285,65;295,42;305,21;8,34
SP;PE;Capital; E-Commerce ;42,51;44;44,9;47,17;47,82;52,15;55,95;57,67;59,68;62,29;64,58;67,6;76,74;85,88;95,02;104,17;113,31;119,41;129,18;138,96;148,75;158,52;168,3;178,09;187,86;197,65;207,42;217,2;226,98;236,75;246,54;256,31;266,08;275,87;285,65;295,42;305,21;8,34
SP;PI;Capital; E-Commerce ;42,51;44;44,9;47,17;47,82;52,15;55,95;57,67;59,68;62,29;64,58;67,6;76,74;85,88;95,02;104,17;113,31;119,41;129,18;138,96;148,75;158,52;168,3;178,09;187,86;197,65;207,42;217,2;226,98;236,75;246,54;256,31;266,08;275,87;285,65;295,42;305,21;8,34
SP;PR;Capital; E-Commerce ;26,26;26,69;27,58;30,02;32,26;35,04;36,9;38,68;40;41,72;43,22;45,01;49,65;54,29;58,95;63,58;68,22;76,54;81,42;86,32;91,2;96,1;100,98;105,88;110,78;115,67;120,55;125,44;130,32;135,21;140,09;145,01;149,9;154,77;159,68;164,56;169,44;5,28
SP;RJ;Capital; E-Commerce ;23,79;24,18;24,97;27,15;29,16;31,63;33,3;34,9;36,08;37,62;38,96;40,57;44,71;48,86;53,02;57,16;61,3;68,72;73,08;77,46;81,82;86,2;90,56;94,94;99,31;103,68;108,04;112,42;116,78;121,14;125,5;129,9;134,26;138,62;143;147,36;151,73;4,25
SP;RN;Capital; E-Commerce ;42,51;44;44,9;47,17;47,82;52,15;55,95;57,67;59,68;62,29;64,58;67,6;76,74;85,88;95,02;104,17;113,31;119,41;129,18;138,96;148,75;158,52;168,3;178,09;187,86;197,65;207,42;217,2;226,98;236,75;246,54;256,31;266,08;275,87;285,65;295,42;305,21;8,34
SP;RO;Capital; E-Commerce ;54,39;56,32;57,48;60,42;61,25;66,89;71,82;74,05;76,66;80,03;83;86,91;98,81;110,72;122,61;134,52;146,43;154,34;167,08;179,8;192,56;205,28;218,02;230,76;243,49;256,23;268,96;281,69;294,44;307,16;319,91;332,63;345,36;358,1;370,84;383,57;396,31;13,41
SP;RR;Capital; E-Commerce ;61,12;63,31;64,25;67,97;68,9;75,25;80,83;83,35;86,29;90,11;93,43;97,86;111,32;124,79;138,24;151,71;165,18;174,13;188,55;202,96;217,38;231,79;246,2;260,62;275,02;289,42;303,84;318,24;332,65;347,06;361,48;375,88;390,29;404,7;419,13;433,52;447,93;15,13
SP;RS;Capital; E-Commerce ;28,57;30,2;32,63;33,57;35,4;38,2;40,9;42,18;43,63;45,51;47,79;49,08;54,48;59,86;65,23;70,63;76,02;81,44;87,09;92,78;98,45;104,13;109,79;115,46;121,12;126,81;132,47;138,15;143,81;149,5;155,15;160,84;166,5;172,17;177,85;183,54;189,2;5,88
SP;SC;Capital; E-Commerce ;26,26;26,69;27,58;30,02;32,26;35,04;36,9;38,68;40;41,72;43,22;45,01;49,65;54,29;58,95;63,58;68,22;76,54;81,42;86,32;91,2;96,1;100,98;105,88;110,78;115,67;120,55;125,44;130,32;135,21;140,09;145,01;149,9;154,77;159,68;164,56;169,44;5,28
SP;SE;Capital; E-Commerce ;30,12;30,86;32,92;34,82;36,45;39,67;42,49;43,82;45,32;47,26;48,96;51,24;57,55;63,86;70,14;76,47;82,78;93,43;101,49;109,54;117,59;125,65;133,69;141,74;149,79;157,85;165,9;173,94;182;190,05;198,1;206,15;214,2;222,26;230,31;238,35;246,41;6,77
SP;SP;Capital; E-Commerce ;14,54;14,98;15,72;17,42;18,62;20,1;21,1;22,06;22,94;23,88;24,68;25,67;27,38;29,12;30,84;32,56;34,29;36,01;37,73;39,46;41,18;42,92;44,62;46,34;48,08;49,81;51,54;53,25;54,98;56,71;58,42;60,14;61,88;63,59;65,33;67,05;68,77;1,8
SP;TO;Capital; E-Commerce ;33,72;34,43;37,26;39,74;41,93;45,67;48,97;50,5;52,24;54,51;56,5;58,87;66,09;73,33;80,55;87,78;95;106,05;114,7;123,31;131,93;140,56;149,18;157,81;166,43;175,07;183,69;192,29;200,92;209,55;218,18;226,8;235,43;244,06;252,66;261,29;269,92;9,2
SP;AC;Interior; E-Commerce ;89,16;91,09;92,25;95,19;98,93;104,57;112,39;114,62;120,12;123,49;129,37;133,28;148,07;162,88;177,67;192,47;207,28;218,09;233,73;249,34;265,01;280,62;296,25;311,9;327,53;343,16;358,79;374,41;390,06;405,69;421,33;436,94;452,57;468,22;483,85;499,48;515,11;16,3
SP;AL;Interior; E-Commerce ;54,54;55,28;57,34;59,24;63,32;66,54;71,79;73,12;77,07;79,01;83,15;85,43;94,68;103,91;113,13;122,38;131,63;142,58;153,42;164,25;175,08;185,92;196,74;207,58;218,41;229,24;240,08;250,91;261,75;272,57;283,41;294,24;305,07;315,91;326,74;337,56;348,4;9,09
SP;AM;Interior; E-Commerce ;89,16;91,09;92,25;95,19;98,93;104,57;112,39;114,62;120,12;123,49;129,37;133,28;148,07;162,88;177,67;192,47;207,28;218,09;233,73;249,34;265,01;280,62;296,25;311,9;327,53;343,16;358,79;374,41;390,06;405,69;421,33;436,94;452,57;468,22;483,85;499,48;515,11;16,3
SP;AP;Interior; E-Commerce ;93,18;95,27;96,14;99,71;103,49;109,55;117,77;120,18;125,87;129,5;135,58;139,82;155,53;171,26;186,99;202,73;218,45;229,9;246,53;263,15;279,81;296,44;313,07;329,71;346,33;362,96;379,58;396,19;412,84;429,48;446,11;462,73;479,35;496,01;512,63;529,25;545,88;17,33
SP;BA;Interior; E-Commerce ;54,54;55,28;57,34;59,24;63,32;66,54;71,79;73,12;77,07;79,01;83,15;85,43;94,68;103,91;113,13;122,38;131,63;142,58;153,42;164,25;175,08;185,92;196,74;207,58;218,41;229,24;240,08;250,91;261,75;272,57;283,41;294,24;305,07;315,91;326,74;337,56;348,4;9,09
SP;CE;Interior; E-Commerce ;66,93;68,42;69,32;71,59;74,69;79,02;85,25;86,97;91,43;94,04;98,77;101,79;113,87;125,93;138,01;150,08;162,16;168,56;181,11;193,67;206,24;218,79;231,35;243,93;256,48;269,04;281,6;294,17;306,73;319,27;331,85;344,4;356,95;369,52;382,08;394,63;407,2;10,66
SP;DF;Interior; E-Commerce ;51,62;53,17;55,46;56,36;60,55;63,2;68,17;69,39;73,21;75;79,6;80,82;88,88;96,88;104,91;112,94;120,98;126,41;134,54;142,71;150,85;159;167,14;175,3;183,43;191,59;199,74;207,9;216,04;224,19;232,33;240,49;248,63;256,77;264,93;273,09;281,23;7,6
SP;ES;Interior; E-Commerce ;47,37;48,83;50,99;51,83;55,79;58,29;63,02;64,17;67,78;69,46;73,83;74,98;82,46;89,91;97,35;104,81;112,28;117,83;125,42;133,03;140,62;148,24;155,84;163,44;171,02;178,65;186,24;193,85;201,45;209,06;216,64;224,26;231,85;239,44;247,06;254,68;262,28;6,62
SP;GO;Interior; E-Commerce ;51,4;52,2;54,18;56,09;60,27;62,89;67,86;69,06;72,86;74,65;78,6;80,45;88,44;96,41;104,4;112,37;120,36;125,75;133,85;141,96;150,05;158,14;166,25;174,36;182,45;190,56;198,66;206,78;214,89;222,97;231,08;239,18;247,28;255,38;263,48;271,59;279,69;7,55
SP;MA;Interior; E-Commerce ;66,93;68,42;69,32;71,59;74,69;79,02;85,25;86,97;91,43;94,04;98,77;101,79;113,87;125,93;138,01;150,08;162,16;168,56;181,11;193,67;206,24;218,79;231,35;243,93;256,48;269,04;281,6;294,17;306,73;319,27;331,85;344,4;356,95;369,52;382,08;394,63;407,2;10,66
SP;MG;Interior; E-Commerce ;42,86;43,2;43,9;45,81;49,89;52,07;55,87;57,28;60,63;61,99;65,51;66,92;73,22;79,52;85,84;92,13;98,43;105,66;112,04;118,43;124,81;131,2;137,59;143,97;150,37;156,77;163,14;169,53;175,91;182,3;188,67;195,07;201,46;207,82;214,24;220,62;227;5,24
SP;MS;Interior; E-Commerce ;61,97;63,52;65,81;66,71;71,36;74,01;79,44;80,66;84,92;86,71;91,78;93;101,01;108,99;116,98;124,98;132,98;141,01;149,26;157,54;165,81;174,07;182,32;190,6;198,85;207,13;215,39;223,65;231,91;240,2;248,44;256,71;264,97;273,24;281,51;289,79;298,04;8,17
SP;MT;Interior; E-Commerce ;66,52;67,3;69,49;71,51;76,14;79,56;85,44;86,84;91,31;93,38;98,09;100,5;110,08;119,67;129,24;138,84;148,43;162,63;174,08;185,52;196,97;208,4;219,82;231,28;242,72;254,16;265,59;277,02;288,47;299,92;311,36;322,78;334,22;345,68;357,12;368,55;379,98;10,49
SP;PA;Interior; E-Commerce ;89,16;91,09;92,25;95,19;98,93;104,57;112,39;114,62;120,12;123,49;129,37;133,28;148,07;162,88;177,67;192,47;207,28;218,09;233,73;249,34;265,01;280,62;296,25;311,9;327,53;343,16;358,79;374,41;390,06;405,69;421,33;436,94;452,57;468,22;483,85;499,48;515,11;16,3
SP;PB;Interior; E-Commerce ;66,93;68,42;69,32;71,59;74,69;79,02;85,25;86,97;91,43;94,04;98,77;101,79;113,87;125,93;138,01;150,08;162,16;168,56;181,11;193,67;206,24;218,79;231,35;243,93;256,48;269,04;281,6;294,17;306,73;319,27;331,85;344,4;356,95;369,52;382,08;394,63;407,2;10,66
SP;PE;Interior; E-Commerce ;66,93;68,42;69,32;71,59;74,69;79,02;85,25;86,97;91,43;94,04;98,77;101,79;113,87;125,93;138,01;150,08;162,16;168,56;181,11;193,67;206,24;218,79;231,35;243,93;256,48;269,04;281,6;294,17;306,73;319,27;331,85;344,4;356,95;369,52;382,08;394,63;407,2;10,66
SP;PI;Interior; E-Commerce ;66,93;68,42;69,32;71,59;74,69;79,02;85,25;86,97;91,43;94,04;98,77;101,79;113,87;125,93;138,01;150,08;162,16;168,56;181,11;193,67;206,24;218,79;231,35;243,93;256,48;269,04;281,6;294,17;306,73;319,27;331,85;344,4;356,95;369,52;382,08;394,63;407,2;10,66
SP;PR;Interior; E-Commerce ;47,79;48,22;49,11;51,55;56,1;58,88;63,07;64,85;68,48;70,2;74,02;75,81;83,1;90,39;97,69;104,97;112,26;121,29;128,71;136,14;143,56;151;158,43;165,86;173,3;180,74;188,15;195,58;203;210,43;217,84;225,3;232,73;240,13;247,59;255,01;262,43;7,19
SP;RJ;Interior; E-Commerce ;45,32;45,71;46,5;48,68;53;55,47;59,47;61,07;64,56;66,1;69,76;71,37;78,16;84,96;91,76;98,55;105,34;113,47;120,37;127,28;134,18;141,1;148,01;154,92;161,83;168,75;175,64;182,56;189,46;196,36;203,25;210,19;217,09;223,98;230,91;237,81;244,72;6,16
SP;RN;Interior; E-Commerce ;66,93;68,42;69,32;71,59;74,69;79,02;85,25;86,97;91,43;94,04;98,77;101,79;113,87;125,93;138,01;150,08;162,16;168,56;181,11;193,67;206,24;218,79;231,35;243,93;256,48;269,04;281,6;294,17;306,73;319,27;331,85;344,4;356,95;369,52;382,08;394,63;407,2;10,66
SP;RO;Interior; E-Commerce ;89,16;91,09;92,25;95,19;98,93;104,57;112,39;114,62;120,12;123,49;129,37;133,28;148,07;162,88;177,67;192,47;207,28;218,09;233,73;249,34;265,01;280,62;296,25;311,9;327,53;343,16;358,79;374,41;390,06;405,69;421,33;436,94;452,57;468,22;483,85;499,48;515,11;16,3
SP;RR;Interior; E-Commerce ;95,89;98,08;99,02;102,74;106,58;112,93;121,4;123,92;129,75;133,57;139,8;144,23;160,58;176,95;193,3;209,66;226,03;237,88;255,2;272,5;289,83;307,13;324,43;341,76;359,06;376,35;393,67;410,96;428,27;445,59;462,9;480,19;497,5;514,82;532,14;549,43;566,73;18,02
SP;RS;Interior; E-Commerce ;50,1;51,73;54,16;55,1;59,24;62,04;67,07;68,35;72,11;73,99;78,59;79,88;87,93;95,96;103,97;112,02;120,06;126,19;134,38;142,6;150,81;159,03;167,24;175,44;183,64;191,88;200,07;208,29;216,49;224,72;232,9;241,13;249,33;257,53;265,76;273,99;282,19;7,79
SP;SC;Interior; E-Commerce ;47,79;48,22;49,11;51,55;56,1;58,88;63,07;64,85;68,48;70,2;74,02;75,81;83,1;90,39;97,69;104,97;112,26;121,29;128,71;136,14;143,56;151;158,43;165,86;173,3;180,74;188,15;195,58;203;210,43;217,84;225,3;232,73;240,13;247,59;255,01;262,43;7,19
SP;SE;Interior; E-Commerce ;54,54;55,28;57,34;59,24;63,32;66,54;71,79;73,12;77,07;79,01;83,15;85,43;94,68;103,91;113,13;122,38;131,63;142,58;153,42;164,25;175,08;185,92;196,74;207,58;218,41;229,24;240,08;250,91;261,75;272,57;283,41;294,24;305,07;315,91;326,74;337,56;348,4;9,09
SP;SP;Interior; E-Commerce ;36,07;36,51;37,25;38,95;42,46;43,94;47,27;48,23;51,42;52,36;55,48;56,47;60,83;65,22;69,58;73,95;78,33;80,76;85,02;89,28;93,54;97,82;102,07;106,32;110,6;114,88;119,14;123,39;127,66;131,93;136,17;140,43;144,71;148,95;153,24;157,5;161,76;3,71
SP;TO;Interior; E-Commerce ;68,49;69,2;72,03;74,51;79,61;83,35;89,54;91,07;95,7;97,97;102,87;105,24;115,35;125,49;135,61;145,73;155,85;169,8;181,35;192,85;204,38;215,9;227,41;238,95;250,47;262;273,52;285,01;296,54;308,08;319,6;331,11;342,64;354,18;365,67;377,2;388,72;12,09
SP;AC;Redespacho; E-Commerce ;95,78;97,71;98,87;101,81;102,64;108,28;116,11;118,34;123,85;127,22;133,09;137;151,8;166,6;181,39;196,2;211,01;221,81;237,45;253,07;268,72;284,35;299,98;315,63;331,25;346,88;362,52;378,14;393,79;409,41;425,05;440,67;456,31;471,94;487,57;503,2;518,85;16,3
SP;AL;Redespacho; E-Commerce ;71,51;72,25;74,31;76,21;77,84;81,06;86,78;88,11;92,51;94,45;99,05;101,33;110,54;119,74;128,92;138,15;147,36;160,9;171,86;182,81;193,75;204,72;215,65;226,61;237,55;248,5;259,46;270,39;281,35;292,3;303,24;314,19;325,15;336,1;347,04;357,98;368,95;9,66
SP;AM;Redespacho; E-Commerce ;95,78;97,71;98,87;101,81;102,64;108,28;116,11;118,34;123,85;127,22;133,09;137;151,8;166,6;181,39;196,2;211,01;221,81;237,45;253,07;268,72;284,35;299,98;315,63;331,25;346,88;362,52;378,14;393,79;409,41;425,05;440,67;456,31;471,94;487,57;503,2;518,85;16,3
SP;AP;Redespacho; E-Commerce ;99,8;101,89;102,76;106,33;107,2;113,26;121,49;123,9;129,6;133,23;139,3;143,54;159,26;174,98;190,71;206,46;222,18;233,62;250,25;266,88;283,52;300,17;316,8;333,44;350,05;366,68;383,31;399,92;416,57;433,2;449,83;466,46;483,09;499,73;516,35;532,97;549,62;17,33
SP;BA;Redespacho; E-Commerce ;71,51;72,25;74,31;76,21;77,84;81,06;86,78;88,11;92,51;94,45;99,05;101,33;110,54;119,74;128,92;138,15;147,36;160,9;171,86;182,81;193,75;204,72;215,65;226,61;237,55;248,5;259,46;270,39;281,35;292,3;303,24;314,19;325,15;336,1;347,04;357,98;368,95;9,66
SP;CE;Redespacho; E-Commerce ;83,9;85,39;86,29;88,56;89,21;93,54;100,24;101,96;106,87;109,48;114,67;117,69;129,73;141,76;153,8;165,85;177,89;186,88;199,55;212,23;224,91;237,59;250,26;262,96;275,62;288,3;300,98;313,65;326,33;339;351,68;364,35;377,03;389,71;402,38;415,05;427,75;11,23
SP;DF;Redespacho; E-Commerce ;68,59;70,14;72,43;73,33;75,07;77,72;83,16;84,38;88,65;90,44;95,5;96,72;104,74;112,71;120,7;128,71;136,71;144,73;152,98;161,27;169,52;177,8;186,05;194,33;202,57;210,85;219,12;227,38;235,64;243,92;252,16;260,44;268,71;276,96;285,23;293,51;301,78;8,17
SP;ES;Redespacho; E-Commerce ;67,23;68,69;70,85;71,69;73,34;75,84;81,14;82,29;86,49;88,17;93,12;94,27;102;109,69;117,39;125,1;132,82;140,55;148,5;156,48;164,42;172,41;180,35;188,33;196,26;204,23;212,2;220,16;228,12;236,09;244,03;252,01;259,97;267,92;275,88;283,86;291,83;7,6
SP;GO;Redespacho; E-Commerce ;68,37;69,17;71,15;73,06;74,79;77,41;82,85;84,05;88,3;90,09;94,5;96,35;104,3;112,24;120,19;128,14;136,09;144,07;152,29;160,52;168,72;176,94;185,16;193,39;201,59;209,82;218,04;226,26;234,49;242,7;250,91;259,13;267,36;275,57;283,78;292,01;300,24;8,12
SP;MA;Redespacho; E-Commerce ;83,9;85,39;86,29;88,56;89,21;93,54;100,24;101,96;106,87;109,48;114,67;117,69;129,73;141,76;153,8;165,85;177,89;186,88;199,55;212,23;224,91;237,59;250,26;262,96;275,62;288,3;300,98;313,65;326,33;339;351,68;364,35;377,03;389,71;402,38;415,05;427,75;11,23
SP;MG;Redespacho; E-Commerce ;62,72;63,06;63,76;65,67;67,44;69,62;73,99;75,4;79,34;80,7;84,8;86,21;92,76;99,3;105,88;112,42;118,97;128,38;135,12;141,88;148,61;155,37;162,1;168,86;175,61;182,35;189,1;195,84;202,58;209,33;216,06;222,82;229,58;236,3;243,06;249,8;256,55;6,22
SP;MS;Redespacho; E-Commerce ;68,59;70,14;72,43;73,33;75,07;77,72;83,16;84,38;88,65;90,44;95,5;96,72;104,74;112,71;120,7;128,71;136,71;144,73;152,98;161,27;169,52;177,8;186,05;194,33;202,57;210,85;219,12;227,38;235,64;243,92;252,16;260,44;268,71;276,96;285,23;293,51;301,78;8,17
SP;MT;Redespacho; E-Commerce ;73,14;73,92;76,11;78,13;79,85;83,27;89,16;90,56;95,04;97,11;101,81;104,22;113,81;123,39;132,96;142,57;152,16;166,35;177,8;189,25;200,68;212,13;223,55;235,01;246,44;257,88;269,32;280,75;292,2;303,64;315,08;326,51;337,96;349,4;360,84;372,27;383,72;10,49
SP;PA;Redespacho; E-Commerce ;95,78;97,71;98,87;101,81;102,64;108,28;116,11;118,34;123,85;127,22;133,09;137;151,8;166,6;181,39;196,2;211,01;221,81;237,45;253,07;268,72;284,35;299,98;315,63;331,25;346,88;362,52;378,14;393,79;409,41;425,05;440,67;456,31;471,94;487,57;503,2;518,85;16,3
SP;PB;Redespacho; E-Commerce ;83,9;85,39;86,29;88,56;89,21;93,54;100,24;101,96;106,87;109,48;114,67;117,69;129,73;141,76;153,8;165,85;177,89;186,88;199,55;212,23;224,91;237,59;250,26;262,96;275,62;288,3;300,98;313,65;326,33;339;351,68;364,35;377,03;389,71;402,38;415,05;427,75;11,23
SP;PE;Redespacho; E-Commerce ;83,9;85,39;86,29;88,56;89,21;93,54;100,24;101,96;106,87;109,48;114,67;117,69;129,73;141,76;153,8;165,85;177,89;186,88;199,55;212,23;224,91;237,59;250,26;262,96;275,62;288,3;300,98;313,65;326,33;339;351,68;364,35;377,03;389,71;402,38;415,05;427,75;11,23
SP;PI;Redespacho; E-Commerce ;83,9;85,39;86,29;88,56;89,21;93,54;100,24;101,96;106,87;109,48;114,67;117,69;129,73;141,76;153,8;165,85;177,89;186,88;199,55;212,23;224,91;237,59;250,26;262,96;275,62;288,3;300,98;313,65;326,33;339;351,68;364,35;377,03;389,71;402,38;415,05;427,75;11,23
SP;PR;Redespacho; E-Commerce ;67,65;68,08;68,97;71,41;73,65;76,43;81,19;82,97;87,19;88,91;93,31;95,1;102,64;110,17;117,73;125,26;132,8;144,01;151,79;159,59;167,36;175,17;182,94;190,75;198,54;206,32;214,11;221,89;229,67;237,46;245,23;253,05;260,85;268,61;276,41;284,19;291,98;8,17
SP;RJ;Redespacho; E-Commerce ;65,18;65,57;66,36;68,54;70,55;73,02;77,59;79,19;83,27;84,81;89,05;90,66;97,7;104,74;111,8;118,84;125,88;136,19;143,45;150,73;157,98;165,27;172,52;179,81;187,07;194,33;201,6;208,87;216,13;223,39;230,64;237,94;245,21;252,46;259,73;266,99;274,27;7,14
SP;RN;Redespacho; E-Commerce ;83,9;85,39;86,29;88,56;89,21;93,54;100,24;101,96;106,87;109,48;114,67;117,69;129,73;141,76;153,8;165,85;177,89;186,88;199,55;212,23;224,91;237,59;250,26;262,96;275,62;288,3;300,98;313,65;326,33;339;351,68;364,35;377,03;389,71;402,38;415,05;427,75;11,23
SP;RO;Redespacho; E-Commerce ;95,78;97,71;98,87;101,81;102,64;108,28;116,11;118,34;123,85;127,22;133,09;137;151,8;166,6;181,39;196,2;211,01;221,81;237,45;253,07;268,72;284,35;299,98;315,63;331,25;346,88;362,52;378,14;393,79;409,41;425,05;440,67;456,31;471,94;487,57;503,2;518,85;16,3
SP;RR;Redespacho; E-Commerce ;102,51;104,7;105,64;109,36;110,29;116,64;125,12;127,64;133,48;137,3;143,52;147,95;164,31;180,67;197,02;213,39;229,76;241,6;258,92;276,23;293,54;310,86;328,16;345,49;362,78;380,07;397,4;414,69;432;449,31;466,62;483,92;501,24;518,54;535,86;553,15;570,47;18,02
SP;RS;Redespacho; E-Commerce ;69,96;71,59;74,02;74,96;76,79;79,59;85,19;86,47;90,82;92,7;97,88;99,17;107,47;115,74;124,01;132,31;140,6;148,91;157,46;166,05;174,61;183,2;191,75;200,33;208,88;217,46;226,03;234,6;243,16;251,75;260,29;268,88;277,45;286,01;294,58;303,17;311,74;8,77
SP;SC;Redespacho; E-Commerce ;67,65;68,08;68,97;71,41;73,65;76,43;81,19;82,97;87,19;88,91;93,31;95,1;102,64;110,17;117,73;125,26;132,8;144,01;151,79;159,59;167,36;175,17;182,94;190,75;198,54;206,32;214,11;221,89;229,67;237,46;245,23;253,05;260,85;268,61;276,41;284,19;291,98;8,17
SP;SE;Redespacho; E-Commerce ;71,51;72,25;74,31;76,21;77,84;81,06;86,78;88,11;92,51;94,45;99,05;101,33;110,54;119,74;128,92;138,15;147,36;160,9;171,86;182,81;193,75;204,72;215,65;226,61;237,55;248,5;259,46;270,39;281,35;292,3;303,24;314,19;325,15;336,1;347,04;357,98;368,95;9,66
SP;SP;Redespacho; E-Commerce ;55,93;56,37;57,11;58,81;60,01;61,49;65,39;66,35;70,13;71,07;74,77;75,76;80,37;85;89,62;94,24;98,87;103,48;108,1;112,73;117,34;121,99;126,58;131,21;135,84;140,46;145,1;149,7;154,33;158,96;163,56;168,18;172,83;177,43;182,06;186,68;191,31;4,69
SP;TO;Redespacho; E-Commerce ;75,11;75,82;78,65;81,13;83,32;87,06;93,26;94,79;99,43;101,7;106,59;108,96;119,08;129,21;139,33;149,46;159,58;173,52;185,07;196,58;208,09;219,63;231,14;242,68;254,19;265,72;277,25;288,74;300,27;311,8;323,32;334,84;346,38;357,9;369,39;380,92;392,46;12,09
